,IsRecentlyVerified,ID,UUID,DataProviderID,DataProvidersReference,OperatorID,UsageTypeID,AddressInfo_ID,AddressInfo_Title,AddressInfo_AddressLine1,AddressInfo_Town,AddressInfo_StateOrProvince,AddressInfo_Postcode,AddressInfo_CountryID,AddressInfo_Latitude,AddressInfo_Longitude,AddressInfo_ContactTelephone1,AddressInfo_AccessComments,AddressInfo_RelatedURL,AddressInfo_Distance,AddressInfo_DistanceUnit,Connections_0_ID,Connections_0_ConnectionTypeID,Connections_0_LevelID,Connections_0_Amps,Connections_0_Voltage,Connections_0_PowerKW,Connections_0_CurrentTypeID,Connections_0_Quantity,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,Connections_1_ID,Connections_1_ConnectionTypeID,Connections_1_LevelID,Connections_1_Amps,Connections_1_Voltage,Connections_1_PowerKW,Connections_1_CurrentTypeID,Connections_1_Quantity,DateLastConfirmed,NumberOfPoints,GeneralComments,OperatorsReference,UsageCost,Connections_0_StatusTypeID,Connections_2_ID,Connections_2_ConnectionTypeID,Connections_2_LevelID,Connections_2_Amps,Connections_2_Voltage,Connections_2_PowerKW,Connections_2_CurrentTypeID,Connections_2_Quantity,Connections_0_Reference,Connections_1_Reference,AddressInfo_AddressLine2,AddressInfo_ContactTelephone2,AddressInfo_ContactEmail,Connections_1_StatusTypeID,Connections_2_Reference,Connections_3_ID,Connections_3_ConnectionTypeID,Connections_3_Reference,Connections_3_LevelID,Connections_3_Quantity,Connections_2_StatusTypeID,Connections_4_ID,Connections_4_ConnectionTypeID,Connections_4_Reference,Connections_4_LevelID,DatePlanned
0,False,139561,3AF2B98D-C19E-4A93-95EC-B4A06D760073,2,143425,5.0,1.0,139913,CITY OF DOWNEY,10419 Rives Ave,Downey,CA,90241,2,33.9524511,-118.136794,888-758-4389,24 hours daily,http://www.chargepoint.com/,0.24578554471064717,2,194966.0,1.0,2.0,16.0,230.0,3.0,10.0,2.0,50.0,2019-12-24T09:11:00Z,3.0,2019-12-24T09:11:00Z,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,False,4841,F534657A-3E72-42F6-862A-CA836E0C00F5,2,39884,,7.0,4783,Downey Nissan,7550 Firestone Blvd,Downey,CA,90241,2,33.946302,-118.145476,562-334-1090,Dealership business hours,,0.850775290001852,2,15895.0,1.0,2.0,16.0,230.0,3.0,10.0,4.0,0.0,2019-04-06T04:01:00Z,1.0,2011-07-04T18:02:00Z,100,20868.0,2.0,2.0,100.0,400.0,40.0,10.0,1.0,2011-05-31T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,False,75793,EC8A3201-2D0E-4E32-B00E-BF861B39C952,2,80323,5.0,1.0,76139,CITY OF DOWNEY,8201 2nd St,Downey,CA,90723,2,33.9417476,-118.133713,888-758-4389,24 hours daily,http://www.chargepoint.com/,0.9949685022941323,2,109297.0,1.0,2.0,16.0,230.0,3.0,10.0,2.0,,2019-12-24T09:11:00Z,3.0,2016-12-23T01:25:00Z,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,False,121989,0C9B4AB8-7431-402F-B636-7379CF01740F,2,39884,,7.0,122335,Downey Nissan,7321 Firestone Blvd,Downey,CA,90241,2,33.9473,-118.151166,562-334-1090,"Dealership business hours
Public - Call ahead",,1.0418307702973326,2,171838.0,1.0,2.0,16.0,230.0,3.7,10.0,4.0,,2020-06-26T02:56:00Z,3.0,2019-04-06T05:02:00Z,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,False,139551,616C23A0-3E8D-4397-879D-65908087BB5A,2,80319,5.0,1.0,139903,CITY OF DOWNEY,11111 Brookshire Ave,Downey,CA,90241,2,33.9408035,-118.1292169,888-758-4389,24 hours daily,http://www.chargepoint.com/,1.1250131307089384,2,194954.0,1.0,2.0,16.0,230.0,3.0,10.0,2.0,50.0,2019-12-24T09:11:00Z,3.0,2019-12-24T09:11:00Z,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,False,2501,BB3B152F-70CC-4F05-B9A1-64770BB8D8E9,2,7250,,1.0,2502,Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,2,33.94756,-118.153806,562-806-6600,24 hours daily,,1.1596524496945058,2,15215.0,1.0,2.0,16.0,230.0,3.0,10.0,4.0,0.0,2019-04-06T04:01:00Z,1.0,2010-08-31T00:00:00Z,100,20143.0,1.0,2.0,,,,,1.0,2011-08-31T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,False,121991,C12B80D4-2AFE-4CB5-8EE1-50418041B7B8,2,7250,,1.0,122337,Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,2,33.94756,-118.153806,562-806-6600,24 hours daily,,1.1596524496945058,2,171840.0,1.0,2.0,16.0,230.0,3.7,10.0,4.0,,2020-06-26T02:56:00Z,3.0,2019-04-06T05:02:00Z,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,False,139549,8BDF41B3-6294-4775-ADF5-F549DC5F66EA,2,80320,5.0,1.0,139901,CITY OF DOWNEY,11121 Brookshire Ave,Downey,CA,90241,2,33.9400402,-118.1290559,888-758-4389,24 hours daily,http://www.chargepoint.com/,1.177573934903938,2,194952.0,1.0,2.0,16.0,230.0,3.0,10.0,2.0,50.0,2019-12-24T09:11:00Z,3.0,2019-12-24T09:11:00Z,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,False,158646,71DA4E73-19CF-49A3-ABFD-9DDF7026CD3E,2,155250,15.0,1.0,159003,Apollo Center,"10307 Lakewood Blvd, # 1041",Downey,CA,90241,2,33.946101,-118.1186228,877-455-3833,24 hours daily,https://www.evgo.com/,1.222286931913966,2,228661.0,2.0,3.0,100.0,400.0,40.0,30.0,1.0,50.0,2020-06-26T02:56:00Z,3.0,2020-06-26T02:56:00Z,100,228662.0,32.0,3.0,100.0,400.0,40.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,False,41965,B0F48B2D-77B5-4F29-A04A-61B326CF1B1C,2,65657,,1.0,42311,LA Fitness,7230 Firestone Blvd,Downey,CA,90241,2,33.946978,-118.155046,562-927-5688,24 hours daily,,1.2413125647981278,2,50334.0,1.0,2.0,16.0,230.0,3.7,10.0,3.0,,2020-06-26T02:56:00Z,3.0,2015-02-23T02:09:00Z,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
